date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,currency
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,BetterSpeak_ AI Language Tutor-360 X 360-2026-07-07-f7edcde36a6aabbcdb96cc65c1b7f8ee-outro.mp4,6312,235,216,1,0.425532,0.425532,26859.574468,,71,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-360 X 640-2026-07-07-d96e140252d559bcb17f8c4de5b66601-outro.mp4,247965,7313,5476,119,1.627239,1.722959,33907.425133,35,2107,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Voice Translator & AI and Fast-360 X 640-2026-07-07-bd9d024a1cbf041f09d5fc03924b568d-outro.mp4,10289,212,178,1,0.471698,0.471698,48533.018868,1,71,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,BetterSpeak_ AI Language Tutor-720 X 1280-2026-07-07-2a8df0b4f047040f6a437b2e5d447f44-outro.mp4,9104,390,317,0,0,,23343.589744,,109,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Praktika – AI Language Tutor-360 X 640-2026-07-07-510f7d61f121f889fb97da516e19cac0-outro.mp4,2698,91,64,4,4.395604,3.296703,29648.351648,,28,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-360 X 640-2026-07-07-010afa428d1a1e337f46750bd8fae5d5-outro.mp4,5076,150,136,2,1.333333,1.333333,33840,1,61,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-360 X 640-2026-07-07-83480f2af0d409a017616669ed367c79-outro.mp4,10124,225,194,3,1.333333,1.333333,44995.555556,,101,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Owl Translator-360 X 640-2026-07-07-8e6b076c391ecb7accefa0a02b1de447-outro.mp4,4156,105,93,1,0.952381,0.952381,39580.952381,,34,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-360 X 640-2026-07-09-0709ca4563c4eca4ac2d8c3eddce329a-outro.mp4,2961,71,66,1,1.408451,1.408451,41704.225352,,29,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-720 X 1280-2026-07-09-5983b7d903f76504ff8822a4da49f499-outro.mp4,20064,602,543,3,0.498339,0.664452,33328.903654,2,167,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Talkpal - AI Language Learning-1280 X 720-2026-07-09-5c1bf5965f3b7fd92ec9caac41896fca-outro.mp4,5325,128,103,4,3.125,3.125,41601.5625,,34,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-720 X 1280-2026-07-09-7559b9ae91c2f7e4bcbc69b018941320-outro.mp4,49494,1160,881,41,3.534483,3.448276,42667.241379,2,452,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,MySivi AI English Speaking App-720 X 720-2026-07-09-16aebec4533126cfdecb0cfda3fc9560-outro.mp4,3158,185,157,2,1.081081,1.081081,17070.27027,,31,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Pimsleur _ Language Learning-360 X 360-2026-07-09-04df90c6ec8b2a379e55c5003e47dfb9-outro.mp4,580,30,27,0,0,,19333.333333,,5,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,Talkpal - AI Language Learning-640 X 360-2026-07-09-72de2f92089c9912ac76cf64686d3bb5-outro.mp4,10364,215,177,11,5.116279,5.116279,48204.651163,,69,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,English Tutor - Learn English-360 X 540-2026-07-09-6205592570d8f12e560118f86bb19aa1-outro.mp4,13570,402,329,6,1.492537,1.492537,33756.218905,,126,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-10,Eden_EnglishTutor_Global_Install_Max,9/7,English Tutor - Learn English-360 X 640-2026-07-09-7ac163c277ebf7c0c1ccf1414bb5d58b-outro.mp4,18876,367,308,10,2.724796,2.724796,51433.242507,,158,,UNKNOWN,UNKNOWN,UNKNOWN,VND
