date,campaign_name,country,spend,impressions,clicks,installs,currency
2026-07-05,Say_Global_Auto_Install_060726_All,LK,1532,76,1,1,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SR,67,2,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SZ,33,6,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,SY,1269,123,3,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,TJ,167,18,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,TZ,304,16,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,TH,68,34,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,TL,494,68,1,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,TO,10,3,0,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,TT,82,2,2,,VND
2026-07-05,Say_Global_Auto_Install_060726_All,TN,521,15,0,,VND
